event_id,event,start_date,end_date,year,rank,fname,lname,country,tomoa_skip
1049,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2018-05-05,2018-05-06,2018,10,nurul,iqamah,INA,NA
1049,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2018-05-05,2018-05-06,2018,11,victoire,andrier,FRA,NA
1049,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2018-05-05,2018-05-06,2018,12,rajiah,sallsabillah,INA,NA
1049,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2018-05-05,2018-05-06,2018,13,yiling,song,CHN,NA
1049,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2018-05-05,2018-05-06,2018,14,klaudia,buczek,POL,NA
1049,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2018-05-05,2018-05-06,2018,15,anna,brozek,POL,NA
1049,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2018-05-05,2018-05-06,2018,16,iuliia,kaplina,RUS,NA
1048,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2018-04-21,2018-04-22,2018,1,anouck,jaubert,FRA,NA
1048,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2018-04-21,2018-04-22,2018,2,iuliia,kaplina,RUS,NA
1048,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2018-04-21,2018-04-22,2018,3,elena,timofeeva,RUS,NA
1048,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2018-04-21,2018-04-22,2018,4,aries,susanti rahayu,INA,NA
1048,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2018-04-21,2018-04-22,2018,5,mariia,krasavina,RUS,NA
1048,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2018-04-21,2018-04-22,2018,6,rajiah,sallsabillah,INA,NA
1048,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2018-04-21,2018-04-22,2018,7,anna,tsyganova,RUS,NA
1048,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2018-04-21,2018-04-22,2018,8,santi,wellyanti,INA,NA
1048,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2018-04-21,2018-04-22,2018,9,puji,lestari,INA,NA
1048,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2018-04-21,2018-04-22,2018,10,elizaveta,ivanova,RUS,NA
1048,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2018-04-21,2018-04-22,2018,11,aleksandra,kalucka,POL,NA
1048,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2018-04-21,2018-04-22,2018,12,sari,agustina,INA,NA
1048,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2018-04-21,2018-04-22,2018,13,aurelia,sarisson,FRA,NA
1048,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2018-04-21,2018-04-22,2018,14,elena,remizova,RUS,NA
1048,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2018-04-21,2018-04-22,2018,15,cuilian,he,CHN,NA
1048,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018",2018-04-21,2018-04-22,2018,16,elma,fleuret,FRA,NA
1124,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2019-10-18,2019-10-20,2019,1,aries,susanti rahayu,INA,NA
1124,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2019-10-18,2019-10-20,2019,2,yiling,song,CHN,NA
1124,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2019-10-18,2019-10-20,2019,3,mariia,krasavina,RUS,NA
1124,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2019-10-18,2019-10-20,2019,4,anouck,jaubert,FRA,NA
1124,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2019-10-18,2019-10-20,2019,5,lijuan,deng,CHN,NA
1124,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2019-10-18,2019-10-20,2019,6,peiyang,tian,CHN,NA
1124,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2019-10-18,2019-10-20,2019,7,di,niu,CHN,NA
1124,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2019-10-18,2019-10-20,2019,8,aurelia,sarisson,FRA,NA
1124,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2019-10-18,2019-10-20,2019,9,elena,remizova,RUS,NA
1124,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2019-10-18,2019-10-20,2019,10,victoire,andrier,FRA,NA
1124,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2019-10-18,2019-10-20,2019,11,natalia,kalucka,POL,NA
1124,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2019-10-18,2019-10-20,2019,12,lirong,yan,CHN,NA
1124,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2019-10-18,2019-10-20,2019,13,tetiana,kolkotina,UKR,NA
1124,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2019-10-18,2019-10-20,2019,14,andrea,rojas,ECU,NA
1124,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2019-10-18,2019-10-20,2019,15,sol,sa,KOR,NA
1124,"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019",2019-10-18,2019-10-20,2019,16,guizhen,xie,CHN,NA
1121,IFSC Climbing World Championships - Hachioji (JPN) 2019,2019-08-11,2019-08-21,2019,1,aleksandra,miroslaw,POL,NA
1121,IFSC Climbing World Championships - Hachioji (JPN) 2019,2019-08-11,2019-08-21,2019,2,di,niu,CHN,NA
1121,IFSC Climbing World Championships - Hachioji (JPN) 2019,2019-08-11,2019-08-21,2019,3,anouck,jaubert,FRA,NA
1121,IFSC Climbing World Championships - Hachioji (JPN) 2019,2019-08-11,2019-08-21,2019,4,yiling,song,CHN,NA
1121,IFSC Climbing World Championships - Hachioji (JPN) 2019,2019-08-11,2019-08-21,2019,5,aleksandra,kalucka,POL,NA
1121,IFSC Climbing World Championships - Hachioji (JPN) 2019,2019-08-11,2019-08-21,2019,6,mariia,krasavina,RUS,NA
1121,IFSC Climbing World Championships - Hachioji (JPN) 2019,2019-08-11,2019-08-21,2019,7,patrycja,chudziak,POL,NA
1121,IFSC Climbing World Championships - Hachioji (JPN) 2019,2019-08-11,2019-08-21,2019,8,elizaveta,ivanova,RUS,NA
1121,IFSC Climbing World Championships - Hachioji (JPN) 2019,2019-08-11,2019-08-21,2019,9,mingwei,ni,CHN,NA
1121,IFSC Climbing World Championships - Hachioji (JPN) 2019,2019-08-11,2019-08-21,2019,10,natalia,kalucka,POL,NA
1121,IFSC Climbing World Championships - Hachioji (JPN) 2019,2019-08-11,2019-08-21,2019,11,anna,brozek,POL,NA
1121,IFSC Climbing World Championships - Hachioji (JPN) 2019,2019-08-11,2019-08-21,2019,12,peiyang,tian,CHN,NA
1121,IFSC Climbing World Championships - Hachioji (JPN) 2019,2019-08-11,2019-08-21,2019,13,andrea,rojas,ECU,NA
1121,IFSC Climbing World Championships - Hachioji (JPN) 2019,2019-08-11,2019-08-21,2019,14,iuliia,kaplina,RUS,NA
1121,IFSC Climbing World Championships - Hachioji (JPN) 2019,2019-08-11,2019-08-21,2019,15,aurelia,sarisson,FRA,NA
1121,IFSC Climbing World Championships - Hachioji (JPN) 2019,2019-08-11,2019-08-21,2019,16,elena,remizova,RUS,NA
1119,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2019-07-11,2019-07-13,2019,1,yiling,song,CHN,NA
1119,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2019-07-11,2019-07-13,2019,2,elizaveta,ivanova,RUS,NA
1119,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2019-07-11,2019-07-13,2019,3,aleksandra,kalucka,POL,NA
1119,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2019-07-11,2019-07-13,2019,4,aries,susanti rahayu,INA,NA
1119,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2019-07-11,2019-07-13,2019,5,anna,brozek,POL,NA
1119,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2019-07-11,2019-07-13,2019,6,andrea,rojas,ECU,NA
1119,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2019-07-11,2019-07-13,2019,7,patrycja,chudziak,POL,NA
1119,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2019-07-11,2019-07-13,2019,8,mariia,krasavina,RUS,NA
1119,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2019-07-11,2019-07-13,2019,9,nurul,iqamah,INA,NA
1119,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2019-07-11,2019-07-13,2019,10,elena,remizova,RUS,NA
1119,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2019-07-11,2019-07-13,2019,11,mingwei,ni,CHN,NA
1119,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2019-07-11,2019-07-13,2019,12,alexandra,elmer,AUT,NA
1119,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2019-07-11,2019-07-13,2019,13,capucine,viglione,FRA,NA
1119,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2019-07-11,2019-07-13,2019,14,kseniia,petrova,RUS,NA
1119,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2019-07-11,2019-07-13,2019,15,di,niu,CHN,NA
1119,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",2019-07-11,2019-07-13,2019,16,anouck,jaubert,FRA,NA
1118,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",2019-07-04,2019-07-06,2019,1,anouck,jaubert,FRA,NA
1118,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",2019-07-04,2019-07-06,2019,2,yiling,song,CHN,NA
1118,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",2019-07-04,2019-07-06,2019,3,elizaveta,ivanova,RUS,NA
1118,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",2019-07-04,2019-07-06,2019,4,di,niu,CHN,NA
1118,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",2019-07-04,2019-07-06,2019,5,natalia,kalucka,POL,NA
1118,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",2019-07-04,2019-07-06,2019,6,anna,tsyganova,RUS,NA
